epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.996,1.28608,1.03321,1.15766,0.01758,0.01411,0.00879,0.00321,2.80994,4.91798,2.866,0.0701786,0.00331349,0.00331349
2,568.879,1.20352,0.76556,1.1232,0.28963,0.32714,0.26946,0.17261,1.71402,3.8744,1.56411,0.0401128,0.00658102,0.00658102
3,695.46,1.17057,0.7462,1.10158,0.94459,0.78351,0.8964,0.58694,1.10548,1.43831,1.16545,0.00998096,0.00978255,0.00978255
4,819.493,1.11781,0.70951,1.10206,0.91888,0.83279,0.94802,0.65035,1.07961,0.71783,1.13519,0.009703,0.009703,0.009703
5,941.295,1.07995,0.67079,1.07502,0.92501,0.93167,0.97709,0.68178,1.06453,0.64022,1.11888,0.009604,0.009604,0.009604
6,1063.69,1.07871,0.68989,1.08437,0.93629,0.88786,0.96002,0.67125,1.01976,0.72352,1.1085,0.009505,0.009505,0.009505
7,1182.3,1.05412,0.65864,1.06616,0.89488,0.89825,0.9632,0.64735,1.07479,0.63526,1.11351,0.009406,0.009406,0.009406
8,1302.01,1.0542,0.64677,1.0715,0.93083,0.91952,0.97544,0.66734,1.11109,0.60575,1.12437,0.009307,0.009307,0.009307
9,1420.77,1.0387,0.64952,1.06521,0.9085,0.85926,0.94053,0.66646,1.0421,0.77888,1.10903,0.009208,0.009208,0.009208
10,1540.18,1.00506,0.62498,1.04719,0.94312,0.87857,0.96698,0.68073,0.98642,0.61205,1.07408,0.009109,0.009109,0.009109
11,1658.52,1.00915,0.60597,1.05193,0.94543,0.88043,0.97061,0.68888,1.00513,0.6076,1.08615,0.00901,0.00901,0.00901
12,1780.84,1.01576,0.60785,1.05461,0.81202,0.7746,0.86768,0.58126,1.09114,0.90335,1.12636,0.008911,0.008911,0.008911
13,1899.54,0.98734,0.60616,1.0484,0.96476,0.89231,0.97509,0.73149,0.95071,0.57919,1.06771,0.008812,0.008812,0.008812
14,2023.67,0.99597,0.60382,1.04665,0.9572,0.87206,0.96917,0.69714,0.99076,0.67304,1.0693,0.008713,0.008713,0.008713
15,2141.87,0.99816,0.6007,1.05139,0.87431,0.82917,0.89811,0.64385,1.05183,0.8104,1.11204,0.008614,0.008614,0.008614
16,2260.35,0.99251,0.60251,1.05129,0.92525,0.92381,0.97583,0.72818,0.93716,0.54335,1.05165,0.008515,0.008515,0.008515
17,2378.68,0.98484,0.59436,1.0451,0.92994,0.95136,0.97934,0.74485,0.91477,0.51743,1.04639,0.008416,0.008416,0.008416
18,2506.19,0.94446,0.56306,1.02736,0.81159,0.74061,0.79895,0.54047,1.21094,0.95534,1.1817,0.008317,0.008317,0.008317
19,2625.66,0.97179,0.58345,1.04168,0.95874,0.90591,0.96759,0.71789,0.94708,0.65305,1.06698,0.008218,0.008218,0.008218
20,2744.71,0.95633,0.56738,1.03136,0.96614,0.90234,0.97958,0.74258,0.89171,0.51516,1.03872,0.008119,0.008119,0.008119
21,2863.85,0.94195,0.56504,1.02938,0.9306,0.96596,0.98438,0.74331,0.86843,0.4966,1.02921,0.00802,0.00802,0.00802
22,2982.84,0.9392,0.56653,1.02557,0.97193,0.85629,0.97307,0.73551,0.8962,0.52763,1.0365,0.007921,0.007921,0.007921
23,3102.51,0.92651,0.55088,1.02735,0.96073,0.8808,0.97583,0.74177,0.86635,0.51439,1.0208,0.007822,0.007822,0.007822
24,3220.68,0.93317,0.55735,1.03427,0.96279,0.94159,0.97921,0.75132,0.86031,0.49297,1.02286,0.007723,0.007723,0.007723
25,3343,0.93101,0.55818,1.02613,0.96053,0.93205,0.98538,0.72645,0.91281,0.53072,1.03658,0.007624,0.007624,0.007624
26,3461.15,0.9349,0.56026,1.03275,0.98382,0.88036,0.97961,0.73726,0.88412,0.49764,1.04036,0.007525,0.007525,0.007525
27,3580.36,0.92351,0.54634,1.02049,0.94023,0.92877,0.97604,0.73441,0.88078,0.54145,1.03808,0.007426,0.007426,0.007426
28,3699.51,0.89865,0.53757,1.00935,0.95195,0.95655,0.98141,0.74203,0.8873,0.5217,1.02983,0.007327,0.007327,0.007327
29,3818.18,0.90109,0.53786,1.01403,0.96683,0.87676,0.97472,0.74519,0.86468,0.48523,1.03248,0.007228,0.007228,0.007228
30,3936.06,0.89427,0.5309,1.02107,0.93299,0.93947,0.9732,0.74486,0.83199,0.49459,1.01578,0.007129,0.007129,0.007129
31,4054.85,0.88176,0.52752,1.01273,0.96721,0.88711,0.97524,0.74942,0.84781,0.51157,1.01623,0.00703,0.00703,0.00703
32,4172.73,0.87654,0.53026,1.01477,0.95633,0.94319,0.98145,0.74949,0.85538,0.49831,1.02306,0.006931,0.006931,0.006931
33,4291.69,0.89378,0.53053,1.01309,0.97604,0.95307,0.98493,0.75825,0.83812,0.48943,1.01875,0.006832,0.006832,0.006832
34,4413.19,0.86443,0.51846,1.00759,0.96939,0.95693,0.98443,0.77196,0.78271,0.43702,1.0036,0.006733,0.006733,0.006733
35,4532.5,0.86472,0.51197,1.0098,0.63746,0.28336,0.35514,0.24273,1.48354,3.14623,1.2807,0.006634,0.006634,0.006634
36,4650.83,0.85394,0.4979,1.00648,0.97308,0.9573,0.98668,0.77643,0.80201,0.44465,1.00794,0.006535,0.006535,0.006535
37,4772.91,0.8578,0.50817,1.00965,0.97796,0.9557,0.98652,0.77347,0.77895,0.42499,1.00301,0.006436,0.006436,0.006436
38,4891.69,0.85319,0.49049,0.9994,0.97708,0.95284,0.98027,0.7591,0.80317,0.48952,1.01462,0.006337,0.006337,0.006337
39,5010.01,0.84193,0.49299,0.98642,0.96517,0.95433,0.98331,0.76013,0.82049,0.44777,1.00744,0.006238,0.006238,0.006238
40,5128.48,0.84888,0.49724,1.00346,0.97353,0.95618,0.98663,0.77221,0.78743,0.42865,0.9987,0.006139,0.006139,0.006139
41,5246.56,0.85024,0.48821,1.00149,0.97206,0.95586,0.98608,0.77225,0.79456,0.42465,1.00692,0.00604,0.00604,0.00604
42,5364.9,0.86734,0.49333,1.00686,0.98502,0.97648,0.98992,0.7748,0.7841,0.39331,0.99323,0.005941,0.005941,0.005941
43,5483.39,0.83007,0.4838,0.99102,0.98725,0.9775,0.99015,0.78218,0.77262,0.37843,0.99215,0.005842,0.005842,0.005842
44,5605.79,0.82519,0.47086,0.99173,0.97803,0.97543,0.98695,0.78027,0.75692,0.37797,0.99723,0.005743,0.005743,0.005743
45,5724.7,0.84096,0.47411,0.99672,0.97962,0.92834,0.97508,0.76042,0.80164,0.43307,1.00333,0.005644,0.005644,0.005644
46,5844.6,0.82831,0.46791,0.9948,0.97677,0.96802,0.98034,0.77173,0.79574,0.40656,1.00507,0.005545,0.005545,0.005545
47,5963.22,0.83487,0.46887,1.00078,0.98331,0.96258,0.98598,0.77134,0.80695,0.40408,0.99871,0.005446,0.005446,0.005446
48,6082.5,0.8208,0.4595,0.98939,0.98304,0.96854,0.98896,0.78571,0.75075,0.38479,0.98938,0.005347,0.005347,0.005347
49,6205.81,0.81739,0.4645,0.98458,0.98615,0.97772,0.9892,0.78129,0.76185,0.3837,0.98931,0.005248,0.005248,0.005248
50,6324.71,0.80361,0.45299,0.97947,0.98562,0.96731,0.98578,0.79121,0.74982,0.3873,0.98506,0.005149,0.005149,0.005149
51,6449.52,0.80585,0.45365,0.98371,0.98616,0.97931,0.98961,0.78123,0.75366,0.36737,0.9936,0.00505,0.00505,0.00505
52,6568.3,0.78877,0.44769,0.9813,0.98875,0.97871,0.98828,0.78406,0.75236,0.36713,0.98661,0.004951,0.004951,0.004951
53,6687.31,0.81027,0.45341,0.98803,0.97772,0.96658,0.98772,0.78616,0.75924,0.38616,0.98694,0.004852,0.004852,0.004852
54,6805.3,0.80659,0.43782,0.99106,0.98481,0.97698,0.98901,0.80322,0.72964,0.35954,0.97891,0.004753,0.004753,0.004753
55,6927.96,0.79637,0.437,0.98283,0.98802,0.98012,0.98901,0.78288,0.74298,0.3583,0.9827,0.004654,0.004654,0.004654
56,7046.65,0.79829,0.44259,0.98259,0.98582,0.98095,0.99051,0.78753,0.74181,0.36712,0.98078,0.004555,0.004555,0.004555
57,7164.34,0.79427,0.44228,0.98156,0.99064,0.98255,0.99081,0.80565,0.73535,0.35575,0.97747,0.004456,0.004456,0.004456
58,7284.87,0.7898,0.43603,0.9813,0.98923,0.98329,0.99026,0.79068,0.74346,0.3536,0.98062,0.004357,0.004357,0.004357
59,7402.81,0.7812,0.42535,0.98094,0.98726,0.98403,0.99016,0.78921,0.7122,0.34831,0.97761,0.004258,0.004258,0.004258
60,7520.36,0.78578,0.42504,0.98458,0.98882,0.97809,0.98923,0.81385,0.71818,0.34588,0.9763,0.004159,0.004159,0.004159
61,7642.18,0.77902,0.42492,0.9792,0.9858,0.97964,0.98906,0.7955,0.71921,0.35035,0.97502,0.00406,0.00406,0.00406
